date,spy_close,vix_close,log_return,realized_vol_20d,drawdown_60d,return_zscore_20d,vix_rv_spread,regime
2006-02-01,88.38850402832031,12.359999656677246,0.006955876433777239,0.09815079194892369,-0.007115017314465768,1.0178622739131549,2.5449204617848764,calm
2006-02-02,87.36276245117188,13.229999542236328,-0.01167278329699313,0.10608752489493856,-0.01863736877026756,-1.7231237886952508,2.621247052742472,calm
2006-02-03,86.92903900146484,12.960000038146973,-0.004976990786543895,0.10739474650514451,-0.02350946729243167,-0.6709871890808025,2.220525387632522,calm
2006-02-06,87.15626525878906,13.039999961853027,0.0026105177267157996,0.10308184325922198,-0.020956991254407892,0.5131184915026689,2.731815635930829,calm
2006-02-07,86.3851547241211,13.59000015258789,-0.008886819177163564,0.10620658803248148,-0.02961902347544342,-1.1348725425779342,2.969341349339743,calm
2006-02-08,87.16999816894531,12.829999923706055,0.009044373293389377,0.11217978209984512,-0.02080272684624072,1.4061335890270235,1.6120217137215427,calm
2006-02-09,87.02545166015625,13.119999885559082,-0.0016595903292214668,0.11116232896053606,-0.022426445444649157,-0.07504435148892571,2.0037669895054755,calm
2006-02-10,87.1837387084961,12.869999885559082,0.0018172071354375303,0.11110897533523904,-0.02064837673562457,0.380448547779644,1.7591023520351783,calm
2006-02-13,87.02545166015625,13.350000381469727,-0.0018172071354374912,0.11116251667823733,-0.022426445444649157,-0.132428590463043,2.233748713645994,calm
2006-02-14,87.94792938232422,12.25,0.010544304094630448,0.11802461914672682,-0.0120640766358155,1.4486887213132433,0.4475380853273183,calm
2006-02-15,88.25772094726562,12.3100004196167,0.003516253690519967,0.11786113557134051,-0.008584128694911108,0.45360574088932165,0.523886862482648,calm
2006-02-16,88.91858673095703,11.479999542236328,0.007460013781902638,0.1200505787572424,-0.0011604968616620208,0.9427976370170371,-0.5250583334879124,calm
2006-02-17,88.6776351928711,12.010000228881836,-0.002713477610264998,0.09857093362521195,-0.003867151605403985,-0.616516546659602,2.1529068663606417,calm
2006-02-21,88.45734405517578,12.40999984741211,-0.002487269902307639,0.09891580773733578,-0.0063417241173033415,-0.5294937190374455,2.5184190736785315,calm
2006-02-22,88.99433898925781,11.880000114440918,0.0060523131036825965,0.10065379684339897,-0.00030955724572211943,0.7868374838247741,1.8146204301010211,calm
2006-02-23,88.86351013183594,11.869999885559082,-0.0014711622980336419,0.10105568380338985,-0.0017791828408613508,-0.379745091062798,1.764431505220097,calm
2006-02-24,89.09073638916016,11.460000038146973,0.0025537618265173857,0.09982170480688143,0.0,0.27915229192372376,1.4778295574588292,calm
2006-02-27,89.12519073486328,11.59000015258789,0.0003866584394379042,0.09472964573683303,0.0,0.005032279520409887,2.117035578904588,calm
2006-02-28,88.2783432006836,12.34000015258789,-0.009547205152391776,0.10102754358596609,-0.009501775280335242,-1.4872986069835572,2.2372457939912813,calm
2006-03-01,89.06320190429688,11.539999961853027,0.008851437800220643,0.10193759824111692,-0.0006955253621932273,1.2650426486833115,1.3462401377413347,calm
2006-03-02,89.0562973022461,11.720000267028809,-7.752775058319757e-05,0.09926049410313219,-0.0007729961871513652,-0.0725861094897387,1.7939508567155897,calm
2006-03-03,88.64325714111328,11.960000038146973,-0.004648755662611144,0.09071537762360367,-0.005407377978956527,-0.9408115566956851,2.8884622757866065,calm
2006-03-06,88.23704528808594,12.739999771118164,-0.004593078613970465,0.09040488457118445,-0.009965144977018559,-0.9376368448886915,3.699511313999718,calm
2006-03-07,88.09937286376953,12.65999984741211,-0.0015614749775697007,0.09047702831923404,-0.011509853304498777,-0.3683843183963039,3.6122970154887053,calm
2006-03-08,88.28527069091797,12.319999694824219,0.0021078693953447574,0.08342928366678716,-0.009424047646012602,0.19407998584097916,3.9770713281455023,calm
2006-03-09,87.69319152832031,12.680000305175781,-0.006729021145290378,0.08225718842347501,-0.016067277890074807,-1.3563506441496842,4.4542814628282805,calm
2006-03-10,88.52619171142578,11.850000381469727,0.0094541970624631,0.08800615092044173,-0.006720872275263343,1.5511386140839132,3.0493852894255546,calm
2006-03-13,88.69139862060547,11.369999885559082,0.0018644532602847352,0.08801316243740329,-0.004867222282287079,0.18166363287299772,2.568683641818753,calm
2006-03-14,89.62078094482422,10.739999771118164,0.010424310246323114,0.09362707529536086,0.0,1.5183204670435575,1.3772922415820776,calm
2006-03-15,90.02009582519531,11.350000381469727,0.004445709075052604,0.08812815189572308,0.0,0.5910615617957271,2.537185191897418,calm
2006-03-16,90.20599365234375,11.979999542236328,0.002062940982793801,0.08776398728124134,0.0,0.1756691320833923,3.2036008141121943,calm
2006-03-17,90.28130340576172,12.119999885559082,0.0008345158802428418,0.08447719859812984,0.0,0.013916245656825992,3.6722800257460975,calm
2006-03-20,90.13616180419922,11.789999961853027,-0.0016089532430203879,0.08396419474168224,-0.0016076595716631747,-0.45840912935165345,3.3935804876848046,calm
2006-03-21,89.56941223144531,11.619999885559082,-0.006307555620544181,0.08699766105363294,-0.007885255833280024,-1.2649270646383752,2.9202337801957885,calm
2006-03-22,90.115478515625,11.210000038146973,0.006078062134345607,0.08701901291092812,-0.0018367578211784643,0.9946039365235232,2.508098747054161,calm
2006-03-23,89.9288330078125,11.170000076293945,-0.002073329316479981,0.08723746513812768,-0.0039041350163618064,-0.4857078274097559,2.4462535624811785,calm
2006-03-24,89.99796295166016,11.1899995803833,0.0007684230342749976,0.08693568510262178,-0.0031384178496860274,0.047812001660598485,2.4964310701211225,calm
2006-03-27,89.86663818359375,11.460000038146973,-0.0014602627818211629,0.08721621876543689,-0.004593035396313352,-0.3411839397221339,2.7383781616032827,calm
2006-03-28,89.31368255615234,11.579999923706055,-0.006172077162712608,0.08281519471201117,-0.010717843153642615,-1.294852143311294,3.298480452504938,calm
2006-03-29,89.87355041503906,10.949999809265137,0.006248990751182886,0.07983041188806381,-0.004516472130337383,1.1525749907576996,2.9669586204587564,calm
2006-03-30,89.71455383300781,11.569999694824219,-0.0017706810174199783,0.08020497388280189,-0.006277596261616849,-0.42333917643821356,3.5495023065440297,calm
2006-03-31,89.73529815673828,11.390000343322754,0.00023119911878280913,0.07799654425983737,-0.006047821956772853,-0.07754689269528113,3.5903459173390164,calm
2006-04-03,89.66617584228516,11.569999694824219,-0.0007705880707974023,0.07576124520128483,-0.006813454616532545,-0.32978967034155354,3.993875174695736,calm
2006-04-04,90.2398452758789,11.140000343322754,0.006377456122716738,0.07769102102379292,-0.0004592105820236381,1.0578452362512931,3.370898240943461,calm
2006-04-05,90.55088806152344,11.130000114440918,0.003440918533777566,0.07804087555812357,0.0,0.44221585464582597,3.325912558628561,calm
2006-04-06,90.4541244506836,11.449999809265137,-0.0010691816620410815,0.07275667303939755,-0.0010686102909791362,-0.5714536569302401,4.174332505325382,calm
2006-04-07,89.53483581542969,12.260000228881836,-0.010215033495663394,0.07774402838110046,-0.011220787204244851,-2.201468068416457,4.485597390771789,calm
2006-04-10,89.673095703125,12.1899995803833,0.0015430111151382843,0.07768119673757332,-0.009693912198873575,0.20284590262904245,4.4218799066259695,calm
2006-04-11,88.91278076171875,13.0,-0.008514889869603312,0.07478886693985322,-0.018090460898535863,-1.7231761496609594,5.521113306014678,calm
2006-04-12,89.07868957519531,12.760000228881836,0.0018642338445997466,0.07311468100518795,-0.016258244594220456,0.5188844592831818,5.448532128363041,calm
2006-04-13,88.961181640625,12.380000114440918,-0.0013200183849886129,0.072509747897067,-0.017555945114733004,-0.13688124536629542,5.129025324734218,calm
2006-04-17,88.92659759521484,12.579999923706055,-0.0003888299240616759,0.07229725556816918,-0.017937874504389113,0.08061073049888269,5.350274366889137,calm
2006-04-18,90.33661651611328,11.399999618530273,0.015731593427185234,0.09286162776268597,-0.002366310811491685,2.6702966083127246,2.1138368422616765,calm
2006-04-19,90.5093994140625,11.319999694824219,0.0019108294936283742,0.08986114906182435,-0.0004581804590668251,0.24534655017598697,2.333884788641784,calm
2006-04-20,90.63383483886719,11.640000343322754,0.0013738900587847785,0.08752453233298003,0.0,0.19717094174502928,2.88754711002475,calm
2006-04-21,90.64764404296875,11.59000015258789,0.00015235096506765713,0.08708398762259587,0.0,-0.04479143123537783,2.8816013903283046,calm
2006-04-24,90.48177337646484,11.75,-0.001831515998164906,0.08742568623345728,-0.001829839796225485,-0.3812368190839179,3.007431376654271,calm
